mean,median,max,min,std_dev,skewness,kurtosis,pixel_count,area_covered,frame,z_stack,channel,full_filepath,condition,time,strain,image_type,biorep,signal
9151.013402061855,8605.5,16724,5399,1928.376413084861,1.0412110451618553,0.711786196434617,970,0.00370025634765625,0,1,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_1_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
6607.273195876289,6562.0,8717,4894,695.4533095588691,0.2615273971183656,-0.18838925637120374,970,0.00370025634765625,0,2,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_2_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
9238.647422680413,8669.0,16400,5751,1970.1380100850847,1.0024422015916898,0.5249839668307974,970,0.00370025634765625,0,2,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_2_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
13899.41443298969,13283.5,23587,9189,3057.121467560711,0.5445473404993924,-0.6886935362040303,970,0.00370025634765625,0,3,0,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_3_Channel_0.tif,eGFP,60min,LZ22225,cell,1,phase
6440.711340206186,6431.5,8545,4826,652.326332835472,0.1348947363731349,-0.2439779117695835,970,0.00370025634765625,0,3,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_3_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
9509.839175257732,8911.0,16786,5940,2075.365071080053,1.0108566352432347,0.4875911103376356,970,0.00370025634765625,0,3,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_3_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
6253.275257731959,6219.0,8315,4512,611.7977695538935,0.2743840337120256,-0.0985805744512045,970,0.00370025634765625,0,4,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_4_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
9844.11855670103,9267.0,17732,5483,2171.5071196015897,1.0223853300064816,0.6875141854309512,970,0.00370025634765625,0,4,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_4_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
6069.163917525773,6028.0,8136,4559,582.875775820424,0.2919376224722304,0.10469913854118174,970,0.00370025634765625,0,5,1,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_5_Channel_1.tif,eGFP,60min,LZ22225,cell,1,fish
10145.307216494846,9580.5,18296,5702,2280.9091907714915,1.048353895289084,0.7780631506790145,970,0.00370025634765625,0,5,2,C:\Users\Nikon\Downloads\Omni\202311_checking_imaging_parameters\20231109_testing_image_parameters\20231109_AG_LZ22225biorep1_wash3\Image_Data\20231109_LZ22225_60min_inf_eGFP.003\cell_only\Time_0_Z_5_Channel_2.tif,eGFP,60min,LZ22225,cell,1,dapi
